delta,D,n,z lower,z upper,equivalent
3%,White,4722,3.635891579552693,-5.371922550697477,yes
3%,Asian,1978,-3.8328317014160405,-12.952932953279417,cannot conclude
3%,Latino,664,4.7353908747355025,0.29923781333197275,cannot conclude
3%,Other,521,6.008111805493609,2.3939721951035806,cannot conclude
3%,Black,420,6.657775969353364,3.5997307945561445,cannot conclude
3%,mixed pair,2526,-0.3003200501035848,-6.450417376100788,cannot conclude
5%,White,4722,6.638496289636084,-8.374527260780868,yes
5%,Asian,1978,-0.7927979507949142,-15.992966703900544,cannot conclude
5%,Latino,664,6.214108561870013,-1.1794798738025376,cannot conclude
5%,Other,521,7.212825008956952,1.1892589916402374,cannot conclude
5%,Black,420,7.677124360952438,2.580382402957071,cannot conclude
5%,mixed pair,2526,1.7497123918954833,-8.500449818099856,yes
10%,White,4722,14.145008064844559,-15.881039035989343,yes
10%,Asian,1978,6.8072864257579,-23.59305108045336,yes
10%,Latino,664,9.910902779706289,-4.8762740916388125,yes
10%,Other,521,10.224608017615308,-1.8225240170181198,yes
10%,Black,420,10.22549533995012,0.03201142395938759,cannot conclude
10%,mixed pair,2526,6.874793496893153,-13.625530923097527,yes
